T=0.0
0.00000, 2.77987, [-0.0000+-0.6110j, 0.0000+-0.0000j, 0.7916+0.0000j, 0.0000+0.0000j]
0.06545, 2.77987, [-0.0000+-0.6110j, 0.0000+0.0518j, 0.7899+0.0000j, -0.0000+-0.0000j]
0.13090, 2.77987, [0.0000+-0.6110j, -0.0000+0.1033j, 0.7849+0.0000j, 0.0000+0.0000j]
0.19635, 2.77987, [-0.0000+-0.6110j, 0.0000+0.1544j, 0.7764+0.0000j, -0.0000+-0.0000j]
0.26180, 2.77987, [-0.0000+-0.6110j, 0.0000+0.2049j, 0.7647+0.0000j, -0.0000+-0.0000j]
0.32725, 2.77987, [-0.0000+-0.6110j, 0.0000+0.2545j, 0.7496+0.0000j, 0.0000+-0.0000j]
0.39270, 2.77987, [-0.0000+-0.6110j, 0.0000+0.3029j, 0.7314+0.0000j, -0.0000+0.0000j]
0.45815, 2.77987, [0.0000+-0.6110j, -0.0000+0.3501j, 0.7100+0.0000j, 0.0000+0.0000j]
0.52360, 2.77987, [0.0000+-0.6110j, 0.0000+0.3958j, 0.6856+0.0000j, 0.0000+0.0000j]
0.58905, 2.77987, [-0.0000+-0.6110j, 0.0000+0.4398j, 0.6582+0.0000j, -0.0000+0.0000j]
0.65450, 2.77987, [-0.0000+-0.6110j, 0.0000+0.4819j, 0.6280+0.0000j, -0.0000+-0.0000j]
0.71995, 2.77987, [0.6110+0.0000j, -0.5220+-0.0000j, 0.0000+0.5952j, -0.0000+-0.0000j]
0.78540, 2.77987, [0.6110+0.0000j, -0.5598+-0.0000j, 0.0000+0.5598j, -0.0000+-0.0000j]
0.85085, 2.77987, [0.6110+0.0000j, -0.5952+0.0000j, -0.0000+0.5220j, 0.0000+-0.0000j]
0.91630, 2.77987, [-0.6110+-0.0000j, 0.6280+0.0000j, 0.0000+-0.4819j, -0.0000+-0.0000j]
0.98175, 2.77987, [-0.6110+0.0000j, 0.6582+0.0000j, -0.0000+-0.4398j, -0.0000+0.0000j]
1.04720, 2.77987, [-0.6110+0.0000j, 0.6856+0.0000j, -0.0000+-0.3958j, -0.0000+-0.0000j]
1.11265, 2.77987, [-0.6110+-0.0000j, 0.7100+0.0000j, 0.0000+-0.3501j, -0.0000+-0.0000j]
1.17810, 2.77987, [-0.6110+-0.0000j, 0.7314+0.0000j, 0.0000+-0.3029j, -0.0000+-0.0000j]
1.24355, 2.77987, [-0.6110+-0.0000j, 0.7496+0.0000j, 0.0000+-0.2545j, 0.0000+0.0000j]
1.30900, 2.77987, [-0.6110+0.0000j, 0.7647+0.0000j, -0.0000+-0.2049j, 0.0000+-0.0000j]
1.37445, 2.77987, [-0.6110+-0.0000j, 0.7764+0.0000j, 0.0000+-0.1544j, -0.0000+-0.0000j]
1.43990, 2.77987, [-0.6110+0.0000j, 0.7849+0.0000j, -0.0000+-0.1033j, 0.0000+0.0000j]
1.50535, 2.77987, [-0.6110+-0.0000j, 0.7899+0.0000j, 0.0000+-0.0518j, -0.0000+0.0000j]
1.57080, 2.77987, [-0.6110+-0.0000j, 0.7916+0.0000j, -0.0000+-0.0000j, 0.0000+-0.0000j]
